,species_number,common_name,kingdom,family
7492,10891,Freshwater Mussel Order,Animalia,
7493,10892,Greater Water Starwort,Plantae,Callitrichaceae
7494,10893,Biting Midge,Animalia,Ceratopogonidae
7495,10895,Snail Family,Animalia,Pleuroceridae
7496,10896,Slimpod Rush,Plantae,Juncaceae
7497,10897,Two-Leaf Water-Milfoil,Plantae,Haloragaceae
7498,10898,Aquatic Annelid,Animalia,Naididae
7499,10899,Dinoflagellate,Chromista,Pyrocystaceae
7500,10900,Dinoflagellate Family,Chromista,Pyrocystaceae
7501,10901,Dinoflagellate Order,Chromista,
7502,10902,Protist,Animalia,Difflugiidae
7503,10903,Protozoan Family,Animalia,Difflugiidae
7504,10904,Amoeba Order,Animalia,
7505,10905,Amoeba Class,Animalia,
7506,10906,Bloodfin Tetra,Animalia,Characidae
7507,10907,Cottonmouth,Animalia,Viperidae
7508,10908,Snake Family,Animalia,Viperidae
7509,10909,Reptile Order,Animalia,
7510,10911,Root-Knot Nematode,Animalia,Heteroderidae
7511,10912,Pseudoscorpion,Animalia,Neobisiidae
7512,10913,Japanese Beetle,Animalia,Scarabaeidae
7513,10914,Wilt Fungus,Fungi,Nectriaceae
7514,10915,Earthworm,Animalia,Eudrilidae
7515,10916,Field Earthworm,Animalia,Moniligastridae
7516,10917,Earthworm Family,Animalia,Moniligastridae
7517,10918,Earthworm Order,Animalia,
7518,10919,Earthworm,Animalia,Lumbricidae
7519,10920,Carabid Beetle,Animalia,Carabidae
7520,10921,Carabid Beetle,Animalia,Carabidae
7521,10922,Carabid Beetle,Animalia,Carabidae
7522,10923,Centipede,Animalia,Lithobiidae
7523,10924,Pillbug,Animalia,Trachelipodidae
7524,10925,Isopod Family,Animalia,Trachelipodidae
7525,10926,Beetle,Animalia,Staphylinidae
7526,10927,Carabid Beetle,Animalia,Carabidae
7527,10928,Carabid Beetle,Animalia,Carabidae
7528,10929,Carabid Beetle,Animalia,Carabidae
7529,10930,Collembola,Animalia,Isotomidae
7530,10931,Cryptostigmatid Mite,Animalia,Trhypochthoniidae
7531,10932,Oribatid Mite Family,Animalia,Trhypochthoniidae
7532,10933,Mite,Animalia,Nothridae
7533,10934,Mite Family,Animalia,Nothridae
7534,10935,Mite,Animalia,Ceratoppiidae
7535,10936,Mite Family,Animalia,Peloppidae
7536,10937,Amnemus Weevil,Animalia,Curculionidae
7537,10938,Brine Shrimp,Animalia,Artemiidae
7538,10939,Brine Shrimp Family,Animalia,Artemiidae
7539,10940,Two Spot Barb,Animalia,Cyprinidae
7540,10947,Diatom,Chromista,Triceratiaceae
7541,10948,Diatom Family,Chromista,Triceratiaceae
7542,10949,Diatom Order,Chromista,
7543,10950,Diatom Class,Chromista,
7544,10951,Algae,Chromista,Ochromonadaceae
7545,10952,Diatom,Chromista,Naviculaceae
7546,10953,Seabream,Animalia,Sparidae
7547,10954,Frog,Animalia,Hylidae
7548,10956,Green Platymonad,Plantae,Chlorodendraceae
7549,10957,Green Platymonad Family,Plantae,Chlorodendraceae
7550,10959,Moss,Plantae,Brachytheciaceae
7551,10960,Moss Family,Plantae,Brachytheciaceae
7552,10961,Protozoa,Animalia,
7553,10962,Snail,Animalia,Thiaridae
7554,10963,Snail Family,Animalia,Thiaridae
7555,10964,Snail Genus,Animalia,Planorbidae
7556,10965,Crab,Animalia,Grapsidae
7557,10966,Crab Family,Animalia,Grapsidae
7558,10967,Crab,Animalia,Pilumnidae
7559,10968,Crab Family,Animalia,Pilumnidae
7560,10969,Snail,Animalia,Viviparidae
7561,10970,Snail Family,Animalia,Viviparidae
7562,10971,Crab,Animalia,Grapsidae
7563,10972,Shrimp,Animalia,Chirocephalidae
7564,10973,Shrimp Family,Animalia,Chirocephalidae
7565,10974,Algae,Chromista,Isochrysidaceae
7566,10976,Haptophyte Order,Chromista,
7567,10977,Waterbug,Animalia,Belostomatidae
7568,10978,Earthworm,Animalia,Lumbricidae
7569,10979,Beetle,Animalia,Elateridae
7570,10980,Freshwater Amoebae,Animalia,Actinosphaeridae
7571,10983,Annelid Order,Animalia,
7572,10984,Annelid Class,Animalia,
7573,10985,Leech,Animalia,Glossiphoniidae
7574,10986,Leech Family,Animalia,Glossiphoniidae
7575,10987,Macrophyte,Plantae,Acanthaceae
7576,10988,Marine Bivalve,Animalia,Veneridae
7577,10989,Giant Waterbug,Animalia,Belostomatidae
7578,10990,Ground Beetle,Animalia,Carabidae
7579,10992,Polychaete,Animalia,Nereididae
7580,10994,Sea Cucumber,Animalia,Stichopodidae
7581,10995,Sea Cucumber Family,Animalia,Stichopodidae
7582,10996,Echinoderm Order,Animalia,
7583,10998,Ciliate,Animalia,Vorticellidae
7584,10999,Ciliate Family,Animalia,Vorticellidae
7585,11000,Ciliate Order,Animalia,
7586,11001,Algae,Plantae,Oocystaceae
7587,11002,Beetle,Animalia,Carabidae
7588,11003,Plate Coral,Animalia,Fungiidae
7589,11004,Coral Family,Animalia,Fungiidae
7590,11005,Isopod,Animalia,Cirolanidae
7591,11006,Brown Algae,Chromista,Dictyotaceae
7592,11007,Brown Algae Family,Chromista,Dictyotaceae
7593,11008,Brown Algae Order,Chromista,
7594,11009,Oyster,Animalia,Ostreidae
7595,11010,Oyster Family,Animalia,Ostreidae
7596,11011,Oyster Order,Animalia,
7597,11012,Polychaete Genus,Animalia,Orbiniidae
7598,11013,Polychaete Family,Animalia,Orbiniidae
7599,11014,Sea Urchin,Animalia,Arbaciidae
7600,11015,Sea Urchin Family,Animalia,Arbaciidae
7601,11016,Echinoderm Order,Animalia,
7602,11017,Amphipod,Animalia,Amphilochidae
7603,11018,Amphipod Family,Animalia,Amphilochidae
7604,11019,Snail,Animalia,Pleuroceridae
7605,11020,Bivalve,Animalia,Unionidae
7606,11021,Nematodes,Animalia,Diplogasteridae
7607,11022,Snail,Animalia,Lymnaeidae
7608,11023,Diatom,Chromista,Thalassiosiraceae
7609,11024,Diatom Family,Chromista,Thalassiosiraceae
7610,11025,Polychaete,Animalia,Nephtyidae
7611,11026,Polychaete Family,Animalia,Nephtyidae
7612,11027,Octopus,Animalia,Octopodidae
7613,11028,Octopus Family,Animalia,Octopodidae
7614,11029,Octopus/Squid Order,Animalia,
7615,11030,Octopus/Squid Class,Animalia,
7616,11032,Midge,Animalia,Chironomidae
7617,11034,Australian Bass,Animalia,Percichthyidae
7618,11035,Ameoba-Like Organisms Subphylum,Animalia,
7619,11036,Gilthead Seabream,Animalia,Sparidae
7620,11037,Coral,Animalia,Faviidae
7621,11038,Coral Family,Animalia,Faviidae
7622,11039,Dinoflagellate,Chromista,Goniodomataceae
7623,11040,Dinoflagellate Family,Chromista,Goniodomataceae
7624,11042,Dinoflagellate,Chromista,Goniodomataceae
7625,11043,Swim-Bladder Nematode,Animalia,Anguillicolidae
7626,11044,Nematode Family,Animalia,Anguillicolidae
7627,11045,Nematode Order,Animalia,
7628,11046,Annelid,Animalia,Lumbricidae
7629,11047,Subtidal Gastrod,Animalia,Buccinidae
7630,11048,Gastropod Family,Animalia,Buccinidae
7631,11050,Leech,Animalia,Piscicolidae
7632,11051,Leech Family,Animalia,Piscicolidae
7633,11052,Moss,Plantae,Cinclidotaceae
7634,11053,Planaria,Animalia,Planariidae
7635,11054,Planarian,Animalia,Planariidae
7636,11055,Moss,Plantae,Fissidentaceae
7637,11056,Sea Cucumber,Animalia,Holothuriidae
7638,11058,Seaweed,Plantae,Solieriaceae
7639,11059,Red Algae Family,Plantae,Solieriaceae
7640,11060,Senegal Walking Frog,Animalia,Hyperoliidae
7641,11062,Water Scorpion Genus,Animalia,Nepidae
7642,11063,Southern Brown Tree Frog,Animalia,Hylidae
7643,11064,Lesser Water Boatmen,Animalia,Corixidae
7644,11065,Asian Redtail Catfish,Animalia,Bagridae
7645,11067,Bay Scallop,Animalia,Pectinidae
7646,11068,Penshell Bivalves,Animalia,Pinnidae
7647,11069,Bivalve Family,Animalia,Pinnidae
7648,11070,Curimbata,Animalia,Curimatidae
7649,11071,Black-Lip Oyster,Animalia,Ostreidae
7650,11072,Seaweed,Chromista,Sargassaceae
7651,11073,Brown Algae Family,Chromista,Sargassaceae
7652,11074,Diatom,Chromista,Chaetocerotaceae
7653,11075,Diatom,Chromista,Chaetocerotaceae
7654,11076,Copepod,Animalia,Centropagidae
7655,11078,Calanoid Copepod,Animalia,Centropagidae
7656,11080,Freshwater Copepod,Animalia,Centropagidae
7657,11081,Fungi,Fungi,Helotiaceae
7658,11082,Hyphomycete Fungi,Fungi,
7659,11083,Fungus,Fungi,Dipodascaceae
7660,11084,Fungi,Fungi,
7661,11085,Hyphomycete,Fungi,
7662,11086,Fungi,Fungi,Helotiaceae
7663,11087,Hyphomycete,Fungi,
7664,11088,Hyphomycete,Fungi,
7665,11089,Snail,Animalia,Planorbidae
7666,11090,Algae,Chromista,Aulacoseiraceae
7667,11091,Diatom Family,Chromista,Aulacoseiraceae
7668,11092,Diatom Order,Chromista,
7669,11094,Algae,Plantae,Chaetophoraceae
7670,11095,Algae,Plantae,Ulvaceae
7671,11096,Green Algae,Plantae,Bryopsidaceae
7672,11097,Green Algae Family,Plantae,Bryopsidaceae
7673,11098,Green Algae Order,Plantae,
7674,11099,Mussel,Animalia,Mytilidae
7675,11101,River Snail,Animalia,Viviparidae
7676,11102,Snail,Animalia,Nassariidae
7677,11103,Singapore Horseshoe Crab,Animalia,Limulidae
7678,11104,Snail,Animalia,Neritidae
7679,11105,Gastropod Family,Animalia,Neritidae
7680,11106,Gastropod Order,Animalia,
7681,11107,Snail,Animalia,Neritidae
7682,11108,Green Algae,Plantae,Oocystaceae
7683,11110,Algae,Plantae,Prasiolaceae
7684,11111,Chironomid,Animalia,Chironomidae
7685,11112,Marine Crab,Animalia,Portunidae
7686,11113,Swimming Crab Family,Animalia,Portunidae
7687,11114,Fibrous Tussock-Sedge,Plantae,Cyperaceae
7688,11115,Seagrass,Plantae,Zosteraceae
7689,11118,Moss,Plantae,Hypnaceae
7690,11119,Moss Family,Plantae,Hypnaceae
7691,11134,Temperate Bass Family,Animalia,Moronidae
7692,11139,African Reed Frog Family,Animalia,Hyperoliidae
7693,11147,House Mouse,Animalia,Muridae
7694,11149,Dove Family,Animalia,Columbidae
7695,11150,Dove Order,Animalia,
7696,11154,Pigeon,Animalia,Columbidae
7697,11156,Duck Family,Animalia,Anatidae
7698,11157,Waterfowl Order,Animalia,
7699,11158,Pheasants,Animalia,Phasianidae
7700,11160,Coral,Animalia,Faviidae
7701,11161,Falcon Family,Animalia,Falconidae
7702,11163,Guineafowl Family,Animalia,Numididae
7703,11164,Zander,Animalia,Percidae
7704,11166,Bobwhite Family,Animalia,Odontophoridae
7705,11167,Algae Family,Plantae,Scenedesmaceae
7706,11168,Algae,Plantae,Scenedesmaceae
7707,11169,Seaweed,Plantae,Gracilariaceae
7708,11170,Old World Sparrow Family,Animalia,Passeridae
7709,11171,Seaweed,Plantae,Gracilariaceae
7710,11172,Green Algae,Plantae,Oocystaceae
7711,11173,Water Flea,Animalia,Sididae
7712,11174,Cladoceran Family,Animalia,Sididae
7713,11175,Shrike Family,Animalia,Laniidae
7714,11176,Owl Family,Animalia,Strigidae
7715,11177,Owl Order,Animalia,
7716,11178,Mud Snail,Animalia,Nassariidae
7717,11179,Barn Owl Family,Animalia,Tytonidae
7718,11180,Mosquito,Animalia,Culicidae
7719,11181,Cow Family,Animalia,Bovidae
7720,11182,Coral,Animalia,Poritidae
7721,11183,Coral Family,Animalia,Poritidae
7722,11184,Pig Family,Animalia,Suidae
7723,11185,Protozoa Family,Animalia,Aspidiscidae
7724,11186,Protozoa Order,Animalia,
7725,11187,Water Flea,Animalia,Macrothricidae
7726,11188,Water Flea Family,Animalia,Macrothricidae
7727,11189,Blue-Green Algae,Monera,Oscillatoriaceae
7728,11190,Guinea Pig Family,Animalia,Caviidae
7729,11191,Pronghorn,Animalia,Antilocapridae
7730,11192,Antelope Family,Animalia,Antilocapridae
7731,11193,Golden Hamster,Animalia,Muridae
7732,11194,Blesbok,Animalia,Bovidae
7733,11203,Fungi,Fungi,Tubeufiaceae
7734,11204,Fungi,Fungi,
7735,11205,Blue-Green Algae,Monera,Oscillatoriaceae
7736,11206,Blue-Green Algae,Monera,Stigonemataceae
7737,11207,Blue-Green Algae Family,Monera,Stigonemataceae
7738,11208,Blue-Green Algae Order,Monera,
7739,11209,Blue-Green Algae Class,Monera,
7740,11210,Red Algae,Plantae,Gracilariaceae
7741,11211,Algae,Chromista,Prymnesiaceae
7742,11212,Algae Family,Chromista,Prymnesiaceae
7743,11213,Algae Order,Chromista,
7744,11214,Microalgae,Chromista,Chromulinaceae
7745,11215,Microalgae Family,Chromista,Chromulinaceae
7746,11216,Microalgae Order,Chromista,
7747,11217,Diatom,Chromista,Chaetocerotaceae
7748,11218,Algae,Chromista,Chaetoceraceae
7749,11219,Algae Family,Chromista,Chaetoceraceae
7750,11220,Blue-Green Algae,Monera,Oscillatoriaceae
7751,11221,Red Algae,Plantae,Phyllophoraceae
7752,11222,Red Algae Family,Plantae,Phyllophoraceae
7753,11223,Oribatid Mite,Animalia,Steganacaridae
7754,11225,Oribatid Mite,Animalia,Oppiidae
7755,11226,Perennial Rye Grass,Plantae,Poaceae
7756,11228,Nematode Family,Animalia,Drilonematidae
7757,11229,Nematode,Animalia,Plectidae
7758,11233,Amphipod Family,Animalia,Hyalellidae
7759,11235,Blue-Green Algae,Monera,Chroococcaceae
7760,11236,Scallop,Animalia,Pectinidae
7761,11237,Shrimp,Animalia,Atyidae
7762,11238,Shrimp Family,Animalia,Atyidae
7763,11239,Gourami,Animalia,Osphronemidae
7764,11240,Perciforme Family,Animalia,Belontiidae
7765,11242,Blue-Green Algae Family,Monera,Chroococcaceae
7766,11243,Blue-Green Algae Order,Monera,
7767,11244,Southern Maigres,Animalia,Sciaenidae
7768,11246,Ciliated Protozoa,Animalia,Enchelyidae
7769,11247,Freshwater Ciliate,Animalia,Turaniellidae
7770,11249,Pencil Catfish,Animalia,Trichomycteridae
7771,11250,Sea Trumpeter,Animalia,Teraponidae
7772,11251,Perciforme Family,Animalia,Teraponidae
7773,11253,Assamese Snakehead,Animalia,Channidae
7774,11255,Sand Shiner Minnow,Animalia,Cyprinidae
7775,11256,Sea Anemone,Animalia,Actiniidae
7776,11258,Isopod,Animalia,Aegidae
7777,11259,Isopod Family,Animalia,Aegidae
7778,11260,Crab,Animalia,Grapsidae
7779,11261,Coral,Animalia,Callyspongiidae
7780,11262,Coral Family,Animalia,Callyspongiidae
7781,11263,Coral Order,Animalia,
7782,11264,Plate Coral,Animalia,Fungiidae
7783,11265,Blue-Green Algae,Monera,Rivulariaceae
7784,11266,Blue-Green Algae Family,Monera,Rivulariaceae
7785,11267,Brown Algae,Chromista,Fucaceae
7786,11269,Red Algae,Plantae,Porphyridiaceae
7787,11270,Red Algae Family,Plantae,Porphyridiaceae
7788,11271,Red Algae Order,Plantae,
7789,11273,Minnow,Animalia,Cyprinidae
7790,11274,Goby,Animalia,Gobiidae
7791,11275,Danio,Animalia,Cyprinidae
7792,11276,Fungi,Fungi,
7793,11277,Blackspot Barb,Animalia,Cyprinidae
7794,11278,Cichlid Fish,Animalia,Cichlidae
7795,11279,Rotifer,Animalia,Trichocercidae
7796,11280,Rotifer Family,Animalia,Trichocercidae
7797,11281,Snail,Animalia,Planorbidae
7798,11283,Tilapia,Animalia,Cichlidae
7799,11285,Fungi,Fungi,Helotiaceae
7800,11286,Copepod,Animalia,Diaptomidae
7801,11287,Fungi,Fungi,
7802,11288,Whirlagig Beetle,Animalia,Gyrinidae
7803,11290,Rock Hind,Animalia,Serranidae
7804,11291,Algae,Plantae,Nautococcaceae
7805,11292,Hyphomycete,Fungi,
7806,11293,Polychaete,Animalia,Nephtyidae
7807,11294,Plain-Head Perchlet,Animalia,Ambassidae
7808,11296,Blood-Sucking Bug,Animalia,Reduviidae
7809,11297,Hemiptera Family,Animalia,Reduviidae
7810,11298,Water Mold,Chromista,Pythiaceae
7811,11299,Water Mold Family,Chromista,Pythiaceae
7812,11300,Water Mold Order,Chromista,
7813,11301,Fungi,Fungi,
7814,11302,Earthworm,Animalia,Megascolecidae
7815,11303,Centric Diatom,Chromista,Stephanodiscaceae
7816,11304,Diatom Family,Chromista,Stephanodiscaceae
7817,11305,Diatom Order,Chromista,
7818,11306,Pennate Diatom,Chromista,Fragilariaceae
7819,11307,Diatom Family,Chromista,Fragilariaceae
7820,11308,Diatom Order,Chromista,
7821,11309,Diatom Class,Chromista,
7822,11310,Damsel Fly,Animalia,Platycnemididae
7823,11311,Damselfly Family,Animalia,Platycnemididae
7824,11313,Damsel Fly,Animalia,Coenagrionidae
7825,11314,Damsel Fly,Animalia,Coenagrionidae
7826,11316,Copepod,Animalia,Tachidiidae
7827,11317,Copepod Family,Animalia,Tachidiidae
7828,11318,Copepod,Animalia,Centropagidae
7829,11319,Copepod,Animalia,Pontellidae
7830,11320,Green Flagellates,Plantae,Euglenaceae
7831,11321,Green Flagellate Family,Plantae,Euglenaceae
7832,11322,Green Flagellate Order,Plantae,
7833,11323,Euglenoid Class,Plantae,
7834,11324,Euglenoid Division,Plantae,
7835,11325,Phytoflagellate,Chromista,Chrysococcaceae
7836,11326,Flagellate Family,Chromista,Chrysococcaceae
7837,11327,Pennate Diatom,Chromista,Catenulaceae
7838,11328,Diatom Family,Chromista,Catenulaceae
7839,11329,Diatom Order,Chromista,
7840,11330,Pennate Diatom,Chromista,Cocconeidaceae
7841,11331,Diatom Family,Chromista,Cocconeidaceae
7842,11332,Diatom Order,Chromista,
7843,11333,Pennate Diatom,Chromista,Cocconeidaceae
7844,11334,Pennate Diatom,Chromista,Gomphonemataceae
7845,11335,Diatom Family,Chromista,Gomphonemataceae
7846,11336,Diatom Order,Chromista,
7847,11337,Pennate Diatom,Chromista,Bacillariaceae
7848,11339,Diatom Order,Chromista,
7849,11340,Pennate Diatom,Chromista,Bacillariaceae
7850,11341,Pennate Diatom,Chromista,Bacillariaceae
7851,11343,Pennate Diatom,Chromista,Bacillariaceae
7852,11345,Pennate Diatom,Chromista,Bacillariaceae
7853,11346,Pennate Diatom,Chromista,Bacillariaceae
7854,11347,Pennate Diatom,Chromista,Surirellaceae
7855,11348,Diatom Family,Chromista,Surirellaceae
7856,11349,Diatom Order,Chromista,
7857,11350,Pennate Diatom,Chromista,Rhoicospheniaceae
7858,11351,Diatom Family,Chromista,Rhoicospheniaceae
7859,11354,Coccoid Green Algae,Plantae,Desmidiaceae
7860,11356,Coccoid Green Algae,Plantae,Desmidiaceae
7861,11357,Coccoid Green Algae,Plantae,Scenedesmaceae
7862,11358,Algae,Plantae,Ulotrichaceae
7863,11359,Pennate Diatom,Chromista,Naviculaceae
7864,11360,Pennate Diatom,Chromista,Surirellaceae
7865,11362,Filamentous Green Algae,Plantae,Oedogoniaceae
7866,11363,Filamentous Green Algae Family,Plantae,Oedogoniaceae
7867,11364,Algae Order,Plantae,
7868,11365,Pennate Diatom,Chromista,Bacillariaceae
7869,11367,Pennate Diatom,Chromista,Naviculaceae
7870,11369,Pennate Diatom,Chromista,Naviculaceae
7871,11372,Diatom Family,Chromista,Sellaphoraceae
7872,11373,Pennate Diatom,Chromista,Sellaphoraceae
7873,11375,Pennate Diatom,Chromista,Stauroneidaceae
7874,11376,Diatom Family,Chromista,Stauroneidaceae
7875,11377,Diatom Order,Chromista,
7876,11379,Pennate Diatom,Chromista,Catenulaceae
7877,11385,Pennate Diatom,Chromista,Fragilariaceae
7878,11394,Beetle,Animalia,Carabidae
7879,11395,Wolf Spider,Animalia,Lycosidae
7880,11396,Beetle,Animalia,Carabidae
7881,11397,Earwig,Animalia,Forficulidae
7882,11398,Earwig Family,Animalia,Forficulidae
7883,11399,Beetle,Animalia,Staphylinidae
7884,11400,Antlike Flower Beetle Family,Animalia,Anthicidae
7885,11401,Beetle,Animalia,Carabidae
7886,11403,Beetle,Animalia,Carabidae
7887,11404,Beetle,Animalia,Scarabaeidae
7888,11405,Beetle,Animalia,Carabidae
7889,11407,Beetle,Animalia,Carabidae
7890,11409,Slender Seedcorn Beetle,Animalia,Carabidae
7891,11411,Beetle,Animalia,Carabidae
7892,11412,Beetle,Animalia,Carabidae
7893,11414,Beetle,Animalia,Carabidae
7894,11415,Beetle,Animalia,Carabidae
7895,11416,Beetle,Animalia,Carabidae
7896,11417,Beetle,Animalia,Carabidae
7897,11418,Beetle,Animalia,Carabidae
7898,11419,Beetle,Animalia,Carabidae
7899,11420,Beetle,Animalia,Carabidae
7900,11422,Beetle,Animalia,Carabidae
7901,11424,Wireworm,Animalia,Elateridae
7902,11425,Wireworm,Animalia,Elateridae
7903,11426,Alyssum,Plantae,Brassicaceae
7904,11427,Spider,Animalia,Agelenidae
7905,11428,Jassid,Animalia,Cicadellidae
7906,11429,Bdellid Mite,Animalia,Bdellidae
7907,11430,Mite Family,Animalia,Bdellidae
7908,11431,Snout Mite,Animalia,Bdellidae
7909,11432,Redlegged Earth Mite,Animalia,Penthaleidae
7910,11433,Mite Family,Animalia,Penthaleidae
7911,11435,Accipiter Family,Animalia,Accipitridae
7912,11436,Heron Family,Animalia,Ardeidae
7913,11437,Dabbling Duck,Animalia,Anatidae
7914,11438,Elk,Animalia,Cervidae
7915,11439,Pig,Animalia,Suidae
7916,11440,Striated Finch,Animalia,Estrildidae
7917,11441,Cormorant Family,Animalia,Phalacrocoracidae
7918,11442,Mite,Animalia,Suctobelbidae
7919,11443,Mite Family,Animalia,Suctobelbidae
7920,11444,Mite,Animalia,Brachychthoniidae
7921,11445,Mite Family,Animalia,Brachychthoniidae
7922,11446,Mite,Animalia,Tectocepheidae
7923,11447,Mite Family,Animalia,Tectocepheidae
7924,11448,Harvestman Spider,Animalia,Sclerosomatidae
7925,11449,Centipede Family,Animalia,Schendylidae
7926,11452,Earth Centipede Order,Animalia,
7927,11454,Bivalve Family,Animalia,Mactridae
7928,11455,Cephalochordata Family,Animalia,Branchiostomidae
7929,11456,Crustacean Order,Animalia,
7930,11457,Green Algae Class,Plantae,
7931,11458,Hyphomycete,Fungi,
7932,11459,Sea Star Class,Animalia,
7933,11460,Eel Order,Animalia,
7934,11461,Crustacean Infraclass,Animalia,
7935,11462,Water Milfoil,Plantae,Haloragaceae
7936,11463,Beetle,Animalia,Elateridae
7937,11464,Peanut Worm Phylum,Animalia,
7938,11466,Hyphomycete Fungi,Fungi,Hyaloscyphaceae
7939,11468,Polychaete,Animalia,Dorvilleidae
7940,11469,Polychaete Family,Animalia,Dorvilleidae
7941,11470,Polychaetes,Animalia,Oenonidae
7942,11471,Polychaete Family,Animalia,Oenonidae
7943,11472,Algae,Chromista,Coccolithaceae
7944,11473,Algae Family,Chromista,Coccolithaceae
7945,11474,Mollusc,Animalia,Unionidae
7946,11475,Sponge,Animalia,Sycettidae
7947,11476,Sponge Family,Animalia,Sycettidae
7948,11477,Sponge Order,Animalia,
7949,11478,Sponge Class,Animalia,
7950,11479,Catfish,Animalia,Ictaluridae
7951,11480,Isopod,Animalia,Asellidae
7952,11481,Chub,Animalia,Cyprinidae
7953,11483,Shrimp Genus,Animalia,Alpheidae
7954,11484,Hyphomycete,Fungi,
7955,11487,Pennate Diatom,Chromista,Naviculaceae
7956,11488,Red Algae,Plantae,Gracilariaceae
7957,11489,Wireweed,Chromista,Sargassaceae
7958,11490,Algae,Plantae,Oocystaceae
7959,11493,Red Algae,Plantae,Solieriaceae
7960,11494,Red Algae,Plantae,Gelidiaceae
7961,11495,Red Algae Family,Plantae,Gelidiaceae
7962,11499,Algae Family,Chromista,Isochrysidaceae
7963,11503,Fountain Darter,Animalia,Percidae
7964,11506,Brittle Star,Animalia,Ophiuridae
7965,11507,Brittle Star Family,Animalia,Ophiuridae
7966,11508,Basket Star And Serpent Star Order,Animalia,
7967,11509,Snail,Animalia,Lymnaeidae
7968,11510,Bivalve,Animalia,Veneridae
7969,11511,European Daces,Animalia,Cyprinidae
7970,11512,Caddisfly,Animalia,Lepidostomatidae
7971,11513,Trichoptera Family,Animalia,Lepidostomatidae
7972,11514,Pileworm,Animalia,Teredinidae
7973,11515,Bivalve Family,Animalia,Teredinidae
7974,11516,Bivalve Order,Animalia,
7975,11517,Creek Chubs,Animalia,Cyprinidae
7976,11518,Ostracod,Animalia,Cyprididae
7977,11520,Rotifer,Animalia,Asplanchnidae
7978,11529,Cabbage Moth,Animalia,Noctuidae
7979,11530,Large White Butterfly,Animalia,Pieridae
7980,11531,Diamondback Moth,Animalia,Plutellidae
7981,11532,Moth Family,Animalia,Plutellidae
7982,11533,Egyptian Cotton Leafworm,Animalia,Noctuidae
7983,11535,Dall Sheep,Animalia,Bovidae
7984,11536,Aquatic Plant,Plantae,Lythraceae
7985,11537,Marshweed,Plantae,Scrophulariaceae
7986,11538,Marshweed Family,Plantae,Scrophariaceae
7987,11540,Swan Goose,Animalia,Anatidae
7988,11541,Finch Family,Animalia,Estrildidae
7989,11542,Blue-Green Algae,Monera,Nostocaceae
7990,11543,Starling Family,Animalia,Sturnidae
7991,11544,Mosquito,Animalia,Culicidae
7992,11545,Amphipod,Animalia,Gammaridae
7993,11546,Opossum Shrimp,Animalia,Mysidae
7994,11547,Pondweed,Plantae,Potamogetonaceae
7995,11548,Atlantic Hagfish,Animalia,Myxinidae
7996,11549,Hagfish Family,Animalia,Myxinidae
7997,11550,Hagfish Order,Animalia,
7998,11551,Hagfish Class,Animalia,
7999,11552,Antarctic Scallop,Animalia,Propeamussiidae
8000,11554,Water Pennywort,Plantae,Apiaceae
8001,11555,Hydrocotyle,Plantae,Apiaceae
8002,11557,Crab Family,Animalia,Ocypodidae
8003,11558,Neritic Dinoflagellate,Chromista,Calciodinellaceae
8004,11559,Dinoflagellate Family,Chromista,Calciodinellaceae
8005,11562,Quillwort Family,Plantae,Isoetaceae
8006,11563,Lycopod Order,Plantae,
8007,11564,Lycopodiophyte Class,Plantae,
8008,11565,Lycopodiophyte Division,Plantae,
8009,11580,New Granada Sea Catfish,Animalia,Ariidae
8010,11581,Blacknose Dace,Animalia,Cyprinidae
8011,11582,Scorpidium Moss,Plantae,Amblystegiaceae
8012,11583,Cisco,Animalia,Salmonidae
8013,11584,Indian Swampweed,Plantae,Acanthaceae
8014,11585,Copepod,Animalia,Cyclopidae
8015,11586,Northern Red-legged Frog,Animalia,Ranidae
8016,11587,Diatom,Chromista,Cocconeidaceae
8017,11588,Algae,Plantae,Chaetophoraceae
8018,11589,Algae Family,Plantae,Chaetophoraceae
8019,11590,Algae Order,Plantae,
8020,11591,Crab,Animalia,Portunidae
8021,11592,Barnacle,Animalia,Balanidae
8022,11593,Barnacle Family,Animalia,Balanidae
8023,11594,Barnacle Superorder,Animalia,
8024,11595,Snakehead,Animalia,Channidae
8025,11596,Endoparasitic Trematode,Animalia,Diplostomatidae
8026,11597,Trematode Family,Animalia,Diplostomatidae
8027,11598,Trematode Order,Animalia,
8028,11599,Viviporous Blenny,Animalia,Zoarcidae
8029,11600,Eelpouts,Animalia,Zoarcidae
8030,11601,Australian Blue-Eye,Animalia,Melanotaeniidae
8031,11602,Cryptomonad,Plantae,Cryptomonadaceae
8032,11603,Beetle,Animalia,Haliplidae
8033,11604,Madamango Sea Catfish,Animalia,Ariidae
8034,11605,Chinese Sucker,Animalia,Catostomidae
8035,11606,Tropical Fish,Animalia,Characidae
8036,11607,Cyprinid Fish,Animalia,Cyprinidae
8037,11609,Algae,Plantae,Mesotaeniaceae
8038,11610,Adriatic Seaweed,Chromista,Fucaceae
8039,11611,Lahontan Cutthroat Trout,Animalia,Salmonidae
8040,11612,Giant Tasmanian Freshwater Crayfish,Animalia,Parastacidae
8041,11613,Decapod Family,Animalia,Parastacidae
8042,11614,Small-Mouthed Hardyhead,Animalia,Atherinidae
8043,11615,Moss,Plantae,Amblystegiaceae
